"stand_component","plot_ID","dw_sp","dw_type","ST_LY_type","decay","compartiment","B_t_ha_diff","C_t_ha_diff","N_t_ha_diff","n_ha_diff","n_dec_diff","n_dw_TY_diff","mean_d_cm_diff","sd_d_cm_diff","mean_l_m_diff","sd_l_m_diff"
"DW","140041","2","all",NA,"all","ag",-0.368085083672184,-0.184042541836092,-0.00266015089969888,NA,NA,NA,-3.5,-3.53553390593274,-0.65,-1.06066017177982
"DW","140041","all","1","L","all","ag",-1.65522144308458,-0.827610721542295,-0.00888989087925485,NA,NA,NA,-0.314285714285699,-0.0729441093965799,-1.81714285714286,-0.930499648835134
"DW","140041","all","1",NA,"3","ag",-0.514816870562412,-0.257408435281207,-0.00345245985606326,NA,NA,NA,NA,NA,NA,NA
"DW","140041","all","1",NA,"4","ag",0.178335522564993,0.0891677612824964,0.000863143929214564,NA,NA,NA,NA,NA,NA,NA
"DW","140041","all","1",NA,"5","ag",-0.0361182411135195,-0.0180591205567598,-9.2685179173753e-05,NA,NA,NA,NA,NA,NA,NA
"DW","140041","all","3","S","all","ag",-0.650330519563696,-0.325165259781849,-0.00314759971468829,NA,NA,NA,0,-5.65685424949238,-0.0999999999999999,-0.141421356237309
"DW","140041","all","3",NA,"4","ag",0.232594352535783,0.116297176267891,0.00112575666627319,NA,NA,NA,NA,NA,NA,NA
"DW","140041","all","4","L","all","ag",-0.28328992543218,-0.14164496271609,0.005288754566364,NA,NA,NA,4.5571428571429,0.798724655428702,0.110238095238095,0.079618287195582
"DW","140041","all","4",NA,"3","ag",1.79419255024978,0.897096275124883,0.00868389194320892,NA,NA,NA,NA,NA,NA,NA
"DW","140041","all","4",NA,"4","ag",-0.0719934900706,-0.0359967450353,-0.00034844849194171,NA,NA,NA,NA,NA,NA,NA
"DW","140041","all","4",NA,"5","ag",-0.209654511617159,-0.10482725580858,-0.00101472783622705,NA,NA,NA,NA,NA,NA,NA
"DW","140041","all","all",NA,"3","ag",0.39645080758788,0.19822540379394,0.0009580757061841,NA,NA,NA,10.6153846153846,5.00716066301164,-0.73365384615385,-1.07458028048902
"DW","140041","all","all",NA,"4","ag",0.338936385030174,0.169468192515088,0.00164045210354604,NA,NA,NA,-1.8736263736263,2.08028302234434,0.371428571428571,0.583285341690426
"DW","140041","all","all",NA,"5","ag",-0.245772752730679,-0.122886376365339,-0.0011074130154008,NA,NA,NA,1.9333333333333,-0.69943367121384,0.366666666666667,0.622748108607613
"DW","140041","all","all",NA,"all","ag",-2.58884188808046,-1.29442094404022,-0.0067487360275791,-499.65636731089,-2,0,2.6809954751132,1.88353525170441,-0.068552036199095,-0.616384304108705
"DW","140042","1","1",NA,"3","ag",12.3984675796977,6.19923378984883,0.0600085830857367,NA,NA,NA,NA,NA,NA,NA
"DW","140042","1","1",NA,"4","ag",-0.142668418051995,-0.071334209025997,-0.00069051514337165,NA,NA,NA,NA,NA,NA,NA
"DW","140042","1","1",NA,"5","ag",-0.910652349175333,-0.455326174587668,-0.00440755737000861,NA,NA,NA,NA,NA,NA,NA
"DW","140042","1","1",NA,"all","ag",6.73506445884962,3.36753222942479,0.0325977119808319,NA,NA,NA,NA,NA,NA,NA
"DW","140042","1","4",NA,"3","ag",0.20635653667737,0.103178268338686,0.000998765637518491,NA,NA,NA,NA,NA,NA,NA
"DW","140042","1","4",NA,"4","ag",1.53157579471621,0.765787897358104,0.00741282684642644,NA,NA,NA,NA,NA,NA,NA
"DW","140042","1","4",NA,"5","ag",-0.526238129801764,-0.263119064900882,-0.00254699254824054,NA,NA,NA,NA,NA,NA,NA
"DW","140042","1","4",NA,"all","ag",-3.17578661646922,-1.58789330823461,0.0009455373687521,NA,NA,NA,NA,NA,NA,NA
"DW","140042","1","all",NA,"3","ag",12.604824116375,6.30241205818753,0.0610073487232551,NA,NA,NA,NA,NA,NA,NA
"DW","140042","1","all",NA,"4","ag",1.38890737666421,0.694453688332107,0.00672231170305477,NA,NA,NA,NA,NA,NA,NA
"DW","140042","1","all",NA,"5","ag",-1.4368904789771,-0.71844523948855,-0.00695454991824916,NA,NA,NA,NA,NA,NA,NA
"DW","140042","1","all",NA,"all","ag",0.200659450072898,0.100329725036449,0.0292288227802381,NA,NA,NA,-0.492607526881699,1.6934431185302,0.58131720430107,1.81896026178788
