"","X.1","X","Nr_code","Chr_code_ger","name","bot_name","bot_genus","bot_species","Flora_EU","LH_NH","IPC","WZE","BWI","BZE_al","tpS_SP_com_name","tpS_ID","H_SP_group","BWI_SP_group","Bio_SP_group","N_SP_group","N_bg_SP_group"
"166",166,166,357,"GMy","Gemeine Myrte","Myrtus communis","Myrtus","communis","","LB",81,30011,"SLB","FALSCH","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI"
"167",167,167,358,"SSL","Steinlinde","Phillyrea angustifolia","Phillyrea","angustifolia","","LB",83,30011,"SLB","FALSCH","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI"
"168",168,168,359,"TPi","Terpentin-Pistazie","Pistacia terebinthus","Pistacia","terebinthus","","LB",85,30011,"SLB","FALSCH","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI"
"169",169,169,360,"SWd","Schwarzer Weißdorn","Rhamnus oleoides","Rhamnus","oleoides","","LB",86,30011,"SLB","FALSCH","Magnoliopsida trees",35,"bu","aLh","bu","BU","BU"
"170",170,170,361,"SKd","Stechpalmen-Kreuzdorn","Rhamnus alaternus","Rhamnus","alaternus","","LB",87,30011,"SLB","FALSCH","Magnoliopsida trees",35,"bu","aLh","bu","BU","BU"
"171",171,171,362,"FjB","Fjellbirke","Betula tortuosa","Betula","tortuosa","","LB",88,30011,"BI","FALSCH","Betula spp.",26,"bu","aLn","shw","BI","BI"
"172",172,172,363,"KaS","Kanarische Stechpalme","Ilex canariensis","Ilex","canariensis","","LB",91,30011,"SLB","FALSCH","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI"
"173",173,173,364,"AzL","Azoren-Lorbeer","Laurus canariensis","Laurus","canariensis","","LB",92,30011,"SLB","FALSCH","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI"
"174",174,174,365,"GaB","Gagelbaum","Myrica faya","Myrica","faya","","LB",93,30011,"SLB","FALSCH","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI"
"175",175,175,366,"ZAE","Zentralanatolische Eichen","Quercus ?","Quercus","?","","LB",94,30011,"EI","FALSCH","Quercus spp.",17,"ei","ei","ei","EI","EI"
