"";"MoMoK_Nr";"Name";"Bundesland";"Datum";"Nr_PK";"Nr";"Baumartengruppe";"TYP";"Hoehe/Laenge [dm]";"Durchmesser [cm]";"Zersetzungsgrad"
"186";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"MB";4;1;1;95;"5";1
"187";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"MB";5;1;1;14;"7";5
"188";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"MB";6;1;1;7;"15";4
"189";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"MB";7;1;1;6;"17";5
"190";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"MB";8;1;1;24;"14";4
"191";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"MB";9;1;1;18;"10";5
"192";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"MB";10;1;4;6;"13";4
"193";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"MB";11;1;1;12;"11";4
"194";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"MB";12;1;1;25;"9";5
"195";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"MB";13;1;1;8;"16";5
"196";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"MB";14;1;4;10;"12";4
"197";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"MB";15;1;4;4;"12";5
"198";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"MB";16;1;1;5;"27";5
"199";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"MB";17;1;4;7;"22";5
"200";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"MB";18;1;4;5;"20";5
"201";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"MB";19;1;1;5;"25";2
"202";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"MB";20;1;1;73;"7";1
"203";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"MB";21;1;4;3;"20";5
"204";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"MB";22;1;4;8;"18";4
"205";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"MB";23;1;1;7;"19";5
"206";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"MB";24;1;4;10;"37";5
"207";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"MB";25;1;1;22;"11";4
"208";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"MB";26;1;4;9;"13";5
"209";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"MB";27;1;4;4;"17";5
"210";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"MB";28;1;4;4;"22";4
"211";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"MB";29;1;1;38;"10";4
"212";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"MB";30;1;1;11;"10";4
"213";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"MB";31;1;1;20;"12";4
"214";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"MB";32;1;5;107;"11";1
"215";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"MB";1;1;1;61;"14";5
"216";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"MB";2;1;1;48;"15";5
"217";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"MB";3;1;1;65;"9";5
"218";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"MB";4;1;1;46;"11";5
"219";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"MB";5;1;1;50;"12";5
