zwiesel,d_mess,stufe,bhd_hoehe,hoehe,azi,bart,lfd_nr,bund_nr,baumkennzahl,bhd,alter,schi,kransatz,kraft,hori,alter_methode
,408,,130,,154,tei,19,50011,-9,,113,1,,2,1045,6
,335,,130,,171,tei,20,50011,-9,,113,1,,2,1335,6
,275,,130,,188,tei,21,50011,-9,,113,1,,3,1169,6
,110,,130,140,193,sbi,22,50011,-9,,46,1,93,4,542,5
,291,,130,,202,tei,23,50011,-9,,113,1,,2,1226,6
,313,,130,,234,tei,24,50011,-9,,113,1,,2,1169,6
,313,,130,,251,tei,25,50011,-9,,113,1,,2,1378,6
,283,,130,142,267,tei,26,50011,-9,,113,1,75,2,595,6
,253,,130,,274,tei,27,50011,-9,,113,1,,2,643,6
,344,,130,,295,tei,28,50011,-9,,113,1,,2,872,6
,344,,130,,295,tei,29,50011,-9,,113,1,,2,1528,6
,120,,130,93,160,vbe,1,50012,-9,,41,2,33,0,219,5
,344,,130,,202,sei,2,50012,-9,,74,1,,2,1499,6
,346,,130,,203,mbi,3,50012,-9,,74,1,,2,1271,6
,415,,130,,204,sei,4,50012,-9,,74,1,,1,294,6
,266,,130,178,204,mbi,5,50012,-9,,74,1,106,3,707,6
,317,,130,,237,mbi,6,50012,-9,,74,1,,2,1503,6
,151,,130,158,280,mbi,7,50012,-9,,51,1,113,4,830,5
,247,,120,139,301,rbu,8,50012,-9,,56,1,20,2,588,5
,310,,130,,310,sei,9,50012,-9,,74,1,,2,1101,6
,253,,130,,323,sei,10,50012,-9,,74,1,,2,841,6
,370,,130,,325,sei,11,50012,-9,,74,1,,2,626,6
,104,,130,80,321,vbe,12,50012,-9,,41,2,35,0,315,5
,425,,130,249,348,sei,13,50012,-9,,74,1,71,2,1423,6
,315,,130,,354,sei,14,50012,-9,,74,1,,3,881,6
,288,,130,222,359,mbi,15,50012,-9,,74,1,135,2,500,6
,376,,130,,375,sei,16,50012,-9,,74,1,,2,1719,6
,439,,150,,384,sei,17,50012,-9,,74,1,,1,1164,6
,229,,130,200,397,sei,18,50012,-9,,74,1,106,4,880,6
,305,,130,228,17,sei,19,50012,-9,,74,1,129,2,296,6
,374,,130,241,29,sei,20,50012,-9,,74,1,75,2,1707,6
,135,,130,159,30,mbi,21,50012,-9,,46,1,89,4,1140,5
,342,,130,,63,sei,22,50012,-9,,74,1,,2,778,6
